# destino_id,destino_nombre_es,zona_nombre,clave_mkp,Cangooroo ID,Cangooroo Nombre,Cangooroo ID,Cangooroo ID
434,Hotel Mayan Palace,Puerto Morelos,MAYANP,,,,
181,Hotel Molcas,Playa del Carmen,MOLCA,,,,
751,Hotel Platinum Yucatán Princess All Suites & Resort,Playa del Carmen,PLATI,,,,
99,Hotel Plaza Caribe,Cancún,PACA,,,,
710,Hotel Plaza Playa,Playa del Carmen,PLAZAPY,,,,
344,Hotel Posada 06 Tulum,Playa del Carmen,HTLPY,,,,
684,Hotel San Vicente,Playa del Carmen,SANV,,,,
714,Hotel Shaddai by LHMG,Playa del Carmen,HSHAD,,,,
712,Hotel St. Martin Boutique Hotel,Playa del Carmen,STMARTIN,,,,
716,Hotel Wabi,Playa del Carmen,WABI,,,,
501,Hotel Xcaret Mexico,Playa del Carmen,HTXCARET,,,,
878,Hotel52 Playa Del Carmen,Playa del Carmen,HTL52,,,,
681,Hotelito Del Mar By Xperience Hotels,Playa del Carmen,HOMARX,,,,
96,Hotetur Beach Paradise,Cancún,YHBP,,,,
114,Hyatt Cancun Caribe,Cancún,HYCC3,,,,
540,Hyatt Place,Los Cabos - San Jose del Cabo,HYAP,,,,
450,Hyatt Zilara,Cancún,HYZ,,,,
447,Hyatt Ziva,Cancún,HYVA,,,,
539,Hyatt Ziva Los Cabos,Los Cabos - San Jose del Cabo,HYAZ,,,,
744,Hyatt Ziva Turquoize,Cancún,HYVATQ,,,,
87,Iberostar Cancun,Cancún,IBEROC,,,,
403,Iberostar Cozumel,Cozumel Zona B,IBEROQ,,,,
307,Iberostar Grand Hotel Paraíso,Puerto Morelos,IBEROG,,,,
343,Iberostar Paraíso Beach,Puerto Morelos,IBEROP,,,,
288,Iberostar Paraiso Del Mar,Puerto Morelos,IBEROL,,,,
301,Iberostar Paraíso Lindo,Puerto Morelos,IBEROD,,,,
310,Iberostar Paraíso Maya,Puerto Morelos,IBEROM,,,,
257,Iberostar Quetzal,Playa del Carmen,IBERO,,,,
188,Iberostar Tucan,Playa del Carmen,IBEROT,,,,
201,Illusion Boutique Hotel,Playa del Carmen,ILLUS,,,,
139,Imperial Laguna Cancun,Cancún,IMLAGU,,,,
67,Imperial las Perlas,Cancún,IMPER,,,,
881,In Fashion Hotel & Spa,Playa del Carmen,INNF,,,,
882,Intima Resort,Tulúm,INTI,,,,
421,Isla Esmeralda,Cozumel DownTown,,,,,
131,J.W. Marriott,Cancún,MCDL2,,,,
299,Jade Tulum,Playa del Carmen,,,,,
772,Jashita Hotel & Pandano Cafè,Tulúm,ASHI,,,,
884,Kanan Tulum,Tulúm,KANANT,,,,
885,Kavia Cancun Hotel,Cancún,KAVIA,,,,
134,Kin Mayab,Cancún,KIMA,,,,
214,Kinbe Hotel,Playa del Carmen,KINB,,,,
699,KLR IT Hotel & Residences by Sercotel,Playa del Carmen,KLR,,,,
886,Koox City Garden Hotel,Playa del Carmen,KOOC,,,,
674,Koox Downtown Family Boutique Hotel,Playa del Carmen,KOOD,,,,
676,Koox Estudio 30 Condohotel,Playa del Carmen,KOXE,,,,
887,Kore Tulum Retreat and Spa Resort,Tulúm,KORE,,,,
55,Krystal Cancún,Cancún,KRYD1,,,,
509,La Bufadora,La Bufadora (Ensenada),,,,,
412,La Casona Real,Cozumel DownTown,,,,,
670,La Coccinella by TeAmoPlaya,Playa del Carmen,COCCI,,,,
889,La Pasión Hotel Boutique,Playa del Carmen,LAPAS,,,,
34,La Quinta Inn & Suites,Cancún,QUINTSU,,,,
